               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12233,            0.027641,                   0,                   0,                   0,                   0,                   0,             0.11544,            0.030003,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.11953,            0.027604,                   0,                   0,                   0,                   0,                   0,             0.11367,              0.0293,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.12006,            0.025609,                   0,                   0,                   0,                   0,                   0,             0.11184,             0.02865,                   0,          0.00010999,          0.00010999,             0.09901
                   3,              0.1174,            0.025816,                   0,                   0,                   0,                   0,                   0,             0.10948,            0.028145,                   0,          0.00014997,          0.00014997,             0.09865
                   4,             0.11276,            0.023908,                   0,                   0,                   0,                   0,                   0,             0.10714,            0.027765,                   0,          0.00018993,          0.00018993,             0.09829
                   5,             0.11477,            0.024184,                   0,                   0,                   0,                   0,                   0,              0.1049,            0.027371,                   0,          0.00022987,          0.00022987,             0.09793
                   6,             0.10893,            0.025147,                   0,           0.0014398,             0.28571,          0.00083559,          0.00011735,             0.10181,            0.027228,                   0,          0.00026979,          0.00026979,             0.09757
                   7,             0.10773,             0.02236,                   0,           0.0011232,             0.28571,          0.00072438,          0.00025181,            0.099965,             0.02701,                   0,          0.00030967,          0.00030967,             0.09721
                   8,            0.098654,            0.021924,                   0,             0.00235,             0.28571,           0.0011425,          0.00015697,            0.095976,            0.027201,                   0,          0.00034951,          0.00034951,             0.09685
                   9,            0.098167,            0.022362,                   0,           0.0030952,             0.28571,           0.0012273,          0.00025392,            0.093497,            0.027208,                   0,          0.00038931,          0.00038931,            0.096489
                  10,            0.094511,             0.02211,                   0,           0.0019239,             0.28571,          0.00093954,          9.3954e-05,            0.092059,            0.027177,                   0,          0.00042906,          0.00042906,            0.096129
                  11,             0.09515,            0.022212,                   0,           0.0017326,             0.14286,          0.00051091,          0.00010218,            0.091984,            0.026837,                   0,          0.00046875,          0.00046875,            0.095769
                  12,             0.08909,            0.023333,                   0,           0.0069115,             0.14286,           0.0032255,          0.00079675,            0.089668,            0.026929,                   0,          0.00050839,          0.00050839,            0.095408
                  13,            0.087096,            0.023313,                   0,           0.0082535,             0.12498,           0.0042551,          0.00078319,            0.086841,             0.02725,                   0,          0.00054796,          0.00054796,            0.095048
                  14,            0.084297,            0.022195,                   0,             0.01613,             0.28571,           0.0083582,            0.001575,            0.080845,            0.028098,                   0,          0.00058747,          0.00058747,            0.094687
                  15,            0.083243,            0.021873,                   0,           0.0080476,             0.42857,           0.0049113,           0.0015439,            0.079026,            0.028349,                   0,           0.0006269,           0.0006269,            0.094327
                  16,            0.081199,            0.021414,                   0,            0.010212,             0.28571,           0.0089643,           0.0029328,            0.075348,            0.028777,                   0,          0.00066625,          0.00066625,            0.093966
                  17,            0.076874,            0.023295,                   0,            0.016504,             0.14286,           0.0087241,           0.0033886,            0.075572,            0.028557,                   0,          0.00070551,          0.00070551,            0.093606
                  18,            0.077056,            0.020521,                   0,            0.018471,             0.57143,            0.013755,           0.0026032,            0.074454,            0.028671,                   0,          0.00074469,          0.00074469,            0.093245
                  19,            0.073619,            0.023669,                   0,            0.017878,             0.28571,            0.012812,           0.0038371,            0.068885,            0.029355,                   0,          0.00078377,          0.00078377,            0.092884
                  20,             0.07328,            0.022604,                   0,             0.01311,             0.28571,            0.010832,           0.0040152,            0.068485,            0.029129,                   0,          0.00082275,          0.00082275,            0.092523
                  21,            0.071869,            0.022188,                   0,             0.03853,             0.42857,            0.031325,           0.0069879,            0.063431,            0.029966,                   0,          0.00086162,          0.00086162,            0.092162
                  22,            0.071574,             0.02355,                   0,            0.028451,             0.42857,            0.029079,           0.0059625,            0.061224,            0.030212,                   0,          0.00090038,          0.00090038,              0.0918
                  23,            0.066087,            0.022562,                   0,            0.034371,             0.42857,            0.029932,           0.0073753,            0.060252,            0.030078,                   0,          0.00093903,          0.00093903,            0.091439
                  24,            0.062451,            0.023573,                   0,            0.019232,             0.57143,            0.020379,            0.006725,            0.059405,            0.029987,                   0,          0.00097756,          0.00097756,            0.091078
                  25,            0.064421,            0.025259,                   0,            0.028096,             0.28571,            0.032011,            0.012406,            0.061728,            0.028982,                   0,            0.001016,            0.001016,            0.090716
                  26,            0.066249,            0.022032,                   0,            0.028762,             0.42857,            0.030657,            0.011336,            0.059322,            0.029229,                   0,           0.0010542,           0.0010542,            0.090354
                  27,             0.05738,            0.022444,                   0,            0.064557,             0.85714,            0.063154,            0.015506,            0.058072,            0.029171,                   0,           0.0010924,           0.0010924,            0.089992
                  28,            0.058633,            0.025034,                   0,            0.078546,             0.57143,            0.080263,            0.022968,            0.055797,            0.029388,                   0,           0.0011304,           0.0011304,             0.08963
                  29,            0.057986,            0.026977,                   0,             0.10789,              0.8467,             0.10245,            0.045803,            0.053756,            0.029524,                   0,           0.0011682,           0.0011682,            0.089268
                  30,             0.05965,            0.021341,                   0,             0.11891,             0.42857,             0.10124,            0.036546,            0.055906,            0.028637,                   0,           0.0012059,           0.0012059,            0.088906
                  31,            0.061074,            0.021474,                   0,             0.18984,             0.42857,             0.15967,            0.054666,            0.055791,            0.028263,                   0,           0.0012435,           0.0012435,            0.088543
