               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13509,            0.019906,                   0,                   0,                   0,                   0,                   0,             0.12943,             0.01937,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.13534,            0.019998,                   0,                   0,                   0,                   0,                   0,             0.12792,            0.019229,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.13359,            0.020099,                   0,                   0,                   0,                   0,                   0,             0.12597,            0.019232,                   0,          0.00010999,          0.00010999,             0.09901
                   3,             0.13229,            0.018984,                   0,                   0,                   0,                   0,                   0,             0.12329,            0.019442,                   0,          0.00014997,          0.00014997,             0.09865
                   4,             0.12728,            0.019025,                   0,                   0,                   0,                   0,                   0,             0.11948,             0.02006,                   0,          0.00018993,          0.00018993,             0.09829
                   5,              0.1242,            0.018313,                   0,                   0,                   0,                   0,                   0,             0.11545,            0.020733,                   0,          0.00022987,          0.00022987,             0.09793
                   6,             0.11749,            0.019341,                   0,           0.0011771,             0.14286,          0.00038032,          3.8032e-05,             0.11143,            0.021436,                   0,          0.00026979,          0.00026979,             0.09757
                   7,             0.12075,            0.018849,                   0,           0.0014336,             0.14286,           0.0004211,           4.211e-05,             0.10789,            0.022008,                   0,          0.00030967,          0.00030967,             0.09721
                   8,             0.11307,            0.019005,                   0,            0.003066,             0.14286,          0.00067847,          6.7847e-05,             0.10348,            0.022582,                   0,          0.00034951,          0.00034951,             0.09685
                   9,             0.11077,            0.019711,                   0,           0.0047806,             0.14286,           0.0027032,          0.00027032,            0.098098,            0.023419,                   0,          0.00038931,          0.00038931,            0.096489
                  10,              0.1059,            0.017778,                   0,            0.007442,             0.14286,           0.0023869,          0.00023869,            0.093872,            0.024103,                   0,          0.00042906,          0.00042906,            0.096129
                  11,             0.10272,            0.022329,                   0,            0.010283,             0.14286,           0.0034721,          0.00037858,            0.092545,            0.024177,                   0,          0.00046875,          0.00046875,            0.095769
                  12,              0.1005,            0.017839,                   0,            0.013129,             0.14286,           0.0052993,          0.00065435,            0.089376,            0.024568,                   0,          0.00050839,          0.00050839,            0.095408
                  13,            0.095998,             0.02039,                   0,            0.025734,             0.28571,             0.01229,           0.0031044,            0.086781,            0.024785,                   0,          0.00054796,          0.00054796,            0.095048
                  14,            0.091201,             0.02055,                   0,            0.034241,             0.14286,            0.016281,           0.0023073,            0.083662,            0.025243,                   0,          0.00058747,          0.00058747,            0.094687
                  15,            0.092518,             0.01938,                   0,            0.048283,             0.14286,            0.016783,           0.0022863,             0.08079,            0.025656,                   0,           0.0006269,           0.0006269,            0.094327
                  16,            0.088764,            0.020018,                   0,             0.15341,             0.14286,            0.035593,           0.0041875,            0.081862,            0.025335,                   0,          0.00066625,          0.00066625,            0.093966
                  17,            0.087641,            0.021768,                   0,             0.92286,             0.14286,             0.17871,            0.019126,            0.075651,            0.026408,                   0,          0.00070551,          0.00070551,            0.093606
                  18,            0.082349,            0.021096,                   0,             0.99172,             0.14286,             0.16418,            0.017523,            0.076324,            0.026101,                   0,          0.00074469,          0.00074469,            0.093245
                  19,            0.080722,            0.019229,                   0,             0.99146,             0.14286,              0.1685,            0.018292,            0.072224,             0.02674,                   0,          0.00078377,          0.00078377,            0.092884
                  20,            0.080438,            0.019592,                   0,             0.06095,             0.57143,            0.038873,           0.0052611,            0.075101,            0.026103,                   0,          0.00082275,          0.00082275,            0.092523
                  21,             0.07898,             0.01836,                   0,             0.49126,             0.14286,             0.11242,            0.018078,            0.071324,            0.026682,                   0,          0.00086162,          0.00086162,            0.092162
                  22,            0.073091,            0.020949,                   0,             0.49131,             0.14286,              0.1201,            0.012717,            0.068649,            0.027045,                   0,          0.00090038,          0.00090038,              0.0918
                  23,            0.071044,            0.021257,                   0,             0.49315,             0.14286,             0.11222,            0.013153,            0.066512,            0.027151,                   0,          0.00093903,          0.00093903,            0.091439
                  24,            0.069769,            0.019667,                   0,             0.49264,             0.14286,              0.1549,             0.02371,            0.064706,            0.027096,                   0,          0.00097756,          0.00097756,            0.091078
                  25,            0.072156,             0.02164,                   0,             0.30401,             0.28571,             0.16369,            0.041333,            0.066989,            0.026491,                   0,            0.001016,            0.001016,            0.090716
                  26,             0.06793,            0.020496,                   0,              0.2401,             0.28571,             0.12707,            0.046287,            0.066417,            0.026019,                   0,           0.0010542,           0.0010542,            0.090354
                  27,            0.068556,            0.019386,                   0,              0.3015,             0.28571,             0.19078,            0.043564,            0.060191,            0.027047,                   0,           0.0010924,           0.0010924,            0.089992
                  28,             0.06047,             0.02138,                   0,             0.28679,             0.28571,             0.20046,            0.042425,            0.060456,            0.026554,                   0,           0.0011304,           0.0011304,             0.08963
                  29,            0.058592,            0.020562,                   0,             0.24392,             0.28571,             0.19405,             0.05767,            0.059056,            0.026421,                   0,           0.0011682,           0.0011682,            0.089268
                  30,            0.056893,            0.019896,                   0,             0.23663,             0.70879,             0.30457,            0.070273,            0.055243,            0.026646,                   0,           0.0012059,           0.0012059,            0.088906
                  31,            0.057775,            0.020784,                   0,             0.27593,             0.71429,              0.3378,             0.08107,            0.060053,            0.025359,                   0,           0.0012435,           0.0012435,            0.088543
                  32,            0.057322,            0.020923,                   0,             0.29295,             0.71429,             0.35196,            0.093063,            0.052606,            0.026467,                   0,           0.0012809,           0.0012809,            0.088181
                  33,            0.057497,            0.021421,                   0,             0.44294,             0.57143,             0.40125,            0.082616,            0.056759,            0.025163,                   0,           0.0013181,           0.0013181,            0.087818
                  34,            0.052864,            0.019863,                   0,             0.30858,             0.71429,             0.39578,            0.091202,            0.061358,            0.024075,                   0,           0.0013551,           0.0013551,            0.087455
                  35,            0.053659,             0.01972,                   0,             0.40608,             0.71429,             0.45145,             0.14134,               0.053,            0.025384,                   0,            0.001392,            0.001392,            0.087092
                  36,            0.052935,            0.021791,                   0,              0.4493,             0.71429,             0.46676,             0.15384,            0.048147,            0.025953,                   0,           0.0014287,           0.0014287,            0.086729
                  37,            0.056056,            0.019353,                   0,             0.34445,             0.85714,             0.45103,             0.11891,            0.053212,            0.024607,                   0,           0.0014652,           0.0014652,            0.086365
                  38,            0.049673,             0.01889,                   0,             0.45664,             0.85714,             0.50438,             0.12249,             0.04774,            0.025303,                   0,           0.0015016,           0.0015016,            0.086002
                  39,            0.051441,            0.017752,                   0,             0.74916,             0.42714,             0.56783,             0.20688,            0.054416,            0.023995,                   0,           0.0015377,           0.0015377,            0.085638
