               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12172,            0.027343,                   0,                   0,                   0,                   0,                   0,             0.11542,            0.030017,                   0,               3e-05,               3e-05,             0.09973
                   1,             0.12057,             0.02724,                   0,                   0,                   0,                   0,                   0,             0.11374,            0.029294,                   0,          6.9998e-05,          6.9998e-05,             0.09937
                   2,             0.11926,            0.026056,                   0,                   0,                   0,                   0,                   0,             0.11183,            0.028649,                   0,          0.00010999,          0.00010999,             0.09901
                   3,             0.11765,            0.025652,                   0,                   0,                   0,                   0,                   0,             0.10907,            0.028222,                   0,          0.00014997,          0.00014997,             0.09865
                   4,             0.11414,            0.023752,                   0,                   0,                   0,                   0,                   0,             0.10779,            0.027603,                   0,          0.00018993,          0.00018993,             0.09829
                   5,             0.11374,            0.024191,                   0,           0.0008878,             0.14286,          0.00035285,          3.5285e-05,             0.10568,            0.027172,                   0,          0.00022987,          0.00022987,             0.09793
                   6,             0.10975,            0.024135,                   0,          0.00090013,             0.14286,          0.00034248,          3.4248e-05,             0.10329,            0.026958,                   0,          0.00026979,          0.00026979,             0.09757
                   7,             0.10673,            0.022755,                   0,          0.00055323,             0.14286,          0.00029391,          8.8172e-05,                 0.1,            0.027032,                   0,          0.00030967,          0.00030967,             0.09721
                   8,             0.10168,            0.022151,                   0,           0.0023415,             0.28571,           0.0011681,          0.00023362,            0.097665,            0.026985,                   0,          0.00034951,          0.00034951,             0.09685
                   9,            0.099332,             0.02215,                   0,            0.003299,             0.42857,           0.0023305,          0.00027516,            0.092571,            0.027462,                   0,          0.00038931,          0.00038931,            0.096489
                  10,            0.095304,             0.02197,                   0,           0.0029842,             0.42857,           0.0020734,          0.00046293,            0.089782,            0.027506,                   0,          0.00042906,          0.00042906,            0.096129
                  11,            0.095466,            0.022015,                   0,           0.0037047,             0.42857,           0.0021938,           0.0003691,            0.088328,            0.027493,                   0,          0.00046875,          0.00046875,            0.095769
                  12,             0.09209,            0.024121,                   0,           0.0090936,             0.14286,           0.0046453,           0.0011277,            0.085891,            0.027678,                   0,          0.00050839,          0.00050839,            0.095408
                  13,            0.086536,            0.023728,                   0,           0.0079762,             0.14286,           0.0045164,           0.0012594,            0.082455,            0.028048,                   0,          0.00054796,          0.00054796,            0.095048
                  14,            0.081641,            0.022713,                   0,           0.0068989,             0.14286,           0.0054564,           0.0015254,            0.081354,             0.02807,                   0,          0.00058747,          0.00058747,            0.094687
                  15,            0.080943,            0.023046,                   0,             0.01019,             0.57143,           0.0071665,           0.0024109,            0.080944,            0.027966,                   0,           0.0006269,           0.0006269,            0.094327
                  16,            0.079684,            0.021807,                   0,            0.012359,             0.57143,           0.0097795,           0.0032143,            0.073368,            0.029145,                   0,          0.00066625,          0.00066625,            0.093966
                  17,            0.078268,            0.023645,                   0,            0.012532,             0.28571,            0.009427,           0.0026301,            0.072916,            0.029167,                   0,          0.00070551,          0.00070551,            0.093606
                  18,            0.079474,            0.021621,                   0,            0.014956,             0.28571,           0.0094975,           0.0023092,            0.072497,             0.02897,                   0,          0.00074469,          0.00074469,            0.093245
                  19,            0.075147,            0.024066,                   0,            0.010535,             0.42857,           0.0072871,           0.0016963,            0.065447,            0.030169,                   0,          0.00078377,          0.00078377,            0.092884
                  20,            0.074117,            0.023177,                   0,            0.026272,             0.57143,            0.024664,           0.0060629,             0.06452,             0.02996,                   0,          0.00082275,          0.00082275,            0.092523
                  21,            0.067743,            0.024018,                   0,            0.039157,             0.28571,             0.03477,            0.011454,            0.062458,            0.030032,                   0,          0.00086162,          0.00086162,            0.092162
                  22,            0.068542,            0.025262,                   0,            0.070038,             0.28571,            0.051517,            0.012078,            0.060498,            0.030288,                   0,          0.00090038,          0.00090038,              0.0918
                  23,            0.065302,            0.021728,                   0,            0.064648,             0.42857,            0.059467,            0.017133,            0.057862,            0.030341,                   0,          0.00093903,          0.00093903,            0.091439
                  24,            0.065833,             0.02203,                   0,            0.052529,             0.71429,            0.048612,            0.012433,             0.05832,            0.030116,                   0,          0.00097756,          0.00097756,            0.091078
                  25,            0.065496,            0.026127,                   0,            0.072852,             0.14286,            0.061917,           0.0093266,            0.058197,            0.029608,                   0,            0.001016,            0.001016,            0.090716
                  26,            0.062963,            0.022657,                   0,            0.058695,             0.71429,            0.060565,            0.016032,            0.053746,             0.03025,                   0,           0.0010542,           0.0010542,            0.090354
                  27,            0.061614,            0.022784,                   0,            0.061337,             0.71429,            0.069377,            0.022219,            0.048508,            0.030881,                   0,           0.0010924,           0.0010924,            0.089992
                  28,            0.058096,            0.024757,                   0,            0.086398,             0.57143,            0.079717,            0.043066,             0.04804,            0.030643,                   0,           0.0011304,           0.0011304,             0.08963
                  29,            0.060777,            0.024431,                   0,             0.11144,             0.28571,            0.099973,            0.035641,            0.045733,            0.030716,                   0,           0.0011682,           0.0011682,            0.089268
