               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13856,            0.019561,                   0,                   0,                   0,                   0,                   0,             0.12926,            0.022573,                   0,                   0,                   0,                 0.1
                   1,             0.13782,            0.020198,                   0,                   0,                   0,                   0,                   0,             0.12913,            0.022496,                   0,          9.9998e-06,          9.9998e-06,             0.09991
                   2,              0.1349,            0.019773,                   0,                   0,                   0,                   0,                   0,             0.12906,            0.022411,                   0,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.13516,            0.019629,                   0,                   0,                   0,                   0,                   0,              0.1289,            0.022331,                   0,          2.9994e-05,          2.9994e-05,             0.09973
                   4,              0.1352,            0.019103,                   0,                   0,                   0,                   0,                   0,             0.12872,            0.022239,                   0,          3.9986e-05,          3.9986e-05,             0.09964
                   5,              0.1392,            0.018469,                   0,                   0,                   0,                   0,                   0,             0.12853,            0.022132,                   0,          4.9973e-05,          4.9973e-05,             0.09955
                   6,             0.13754,            0.018589,                   0,                   0,                   0,                   0,                   0,             0.12838,            0.022028,                   0,          5.9953e-05,          5.9953e-05,             0.09946
                   7,             0.13643,            0.020484,                   0,                   0,                   0,                   0,                   0,             0.12814,             0.02192,                   0,          6.9925e-05,          6.9925e-05,             0.09937
                   8,             0.13537,            0.019362,                   0,                   0,                   0,                   0,                   0,             0.12783,            0.021836,                   0,          7.9888e-05,          7.9888e-05,             0.09928
                   9,             0.13204,            0.019424,                   0,                   0,                   0,                   0,                   0,             0.12758,            0.021724,                   0,           8.984e-05,           8.984e-05,             0.09919
                  10,             0.13317,            0.019105,                   0,                   0,                   0,                   0,                   0,              0.1273,            0.021617,                   0,          9.9781e-05,          9.9781e-05,              0.0991
                  11,             0.12946,            0.019596,                   0,                   0,                   0,                   0,                   0,             0.12691,            0.021554,                   0,          0.00010971,          0.00010971,             0.09901
                  12,             0.13051,             0.01899,                   0,                   0,                   0,                   0,                   0,             0.12663,            0.021453,                   0,          0.00011962,          0.00011962,             0.09892
                  13,             0.12772,            0.017801,                   0,                   0,                   0,                   0,                   0,             0.12622,            0.021374,                   0,          0.00012952,          0.00012952,             0.09883
                  14,             0.13215,            0.017817,                   0,                   0,                   0,                   0,                   0,              0.1258,            0.021301,                   0,           0.0001394,           0.0001394,            0.098739
                  15,             0.12957,            0.017439,                   0,                   0,                   0,                   0,                   0,             0.12536,             0.02122,                   0,          0.00014926,          0.00014926,            0.098649
                  16,             0.12768,            0.018031,                   0,                   0,                   0,                   0,                   0,             0.12478,            0.021171,                   0,           0.0001591,           0.0001591,            0.098559
                  17,             0.12927,            0.017427,                   0,                   0,                   0,                   0,                   0,             0.12414,            0.021147,                   0,          0.00016893,          0.00016893,            0.098469
                  18,             0.12549,            0.018787,                   0,                   0,                   0,                   0,                   0,             0.12387,            0.021041,                   0,          0.00017872,          0.00017872,            0.098379
                  19,             0.12356,            0.018157,                   0,                   0,                   0,                   0,                   0,             0.12354,            0.020927,                   0,           0.0001885,           0.0001885,            0.098289
                  20,             0.12185,            0.018205,                   0,                   0,                   0,                   0,                   0,             0.12298,            0.020858,                   0,          0.00019825,          0.00019825,            0.098198
                  21,              0.1259,            0.016601,                   0,                   0,                   0,                   0,                   0,             0.12262,            0.020757,                   0,          0.00020798,          0.00020798,            0.098108
                  22,             0.12051,            0.018515,                   0,                   0,                   0,                   0,                   0,             0.12211,            0.020689,                   0,          0.00021767,          0.00021767,            0.098018
                  23,             0.12407,            0.017902,                   0,                   0,                   0,                   0,                   0,             0.12157,            0.020595,                   0,          0.00022734,          0.00022734,            0.097927
                  24,             0.12077,            0.017361,                   0,                   0,                   0,                   0,                   0,             0.12145,            0.020438,                   0,          0.00023698,          0.00023698,            0.097837
                  25,             0.11894,            0.017747,                   0,                   0,                   0,                   0,                   0,             0.12116,             0.02032,                   0,          0.00024659,          0.00024659,            0.097747
                  26,             0.11906,            0.020554,                   0,                   0,                   0,                   0,                   0,             0.12062,            0.020228,                   0,          0.00025617,          0.00025617,            0.097656
                  27,             0.11258,            0.016266,                   0,                   0,                   0,                   0,                   0,             0.12013,             0.02019,                   0,          0.00026571,          0.00026571,            0.097566
                  28,             0.11499,            0.020455,                   0,                   0,                   0,                   0,                   0,             0.11941,            0.020155,                   0,          0.00027522,          0.00027522,            0.097475
                  29,             0.10868,            0.019581,                   0,                   0,                   0,                   0,                   0,              0.1179,            0.020162,                   0,          0.00028469,          0.00028469,            0.097385
                  30,             0.10893,            0.019528,                   0,                   0,                   0,                   0,                   0,             0.11826,            0.020026,                   0,          0.00029413,          0.00029413,            0.097294
                  31,             0.11311,            0.018985,                   0,                   0,                   0,                   0,                   0,             0.11771,            0.019964,                   0,          0.00030352,          0.00030352,            0.097204
                  32,             0.11289,            0.018147,                   0,                   0,                   0,                   0,                   0,             0.11667,            0.019959,                   0,          0.00031288,          0.00031288,            0.097113
                  33,             0.10722,            0.020115,                   0,                   0,                   0,                   0,                   0,             0.11529,            0.020031,                   0,           0.0003222,           0.0003222,            0.097022
                  34,             0.10181,            0.018174,                   0,                   0,                   0,                   0,                   0,             0.11431,            0.020101,                   0,          0.00033147,          0.00033147,            0.096931
                  35,             0.10993,            0.018939,                   0,                   0,                   0,                   0,                   0,             0.11183,            0.020267,                   0,           0.0003407,           0.0003407,            0.096841
                  36,             0.10424,            0.016795,                   0,                   0,                   0,                   0,                   0,             0.11069,            0.020321,                   0,          0.00034989,          0.00034989,             0.09675
                  37,             0.10549,            0.017744,                   0,                   0,                   0,                   0,                   0,             0.11003,            0.020345,                   0,          0.00035903,          0.00035903,            0.096659
                  38,            0.098053,             0.02046,                   0,                   0,                   0,                   0,                   0,             0.10702,            0.020597,                   0,          0.00036812,          0.00036812,            0.096568
                  39,            0.098396,             0.02003,                   0,                   0,                   0,                   0,                   0,              0.1061,            0.020632,                   0,          0.00037717,          0.00037717,            0.096477
                  40,             0.10271,            0.017136,                   0,                   0,                   0,                   0,                   0,              0.1055,            0.020672,                   0,          0.00038617,          0.00038617,            0.096386
                  41,             0.10437,             0.01876,                   0,            0.035295,                 0.5,            0.021947,           0.0021947,             0.10461,            0.020701,                   0,          0.00039511,          0.00039511,            0.096295
                  42,            0.096373,            0.017846,                   0,            0.037604,                 0.5,            0.022925,            0.004585,             0.10197,            0.020888,                   0,          0.00040401,          0.00040401,            0.096204
                  43,             0.10263,            0.018641,                   0,            0.040039,                 0.5,            0.023996,            0.014398,            0.098383,            0.021104,                   0,          0.00041285,          0.00041285,            0.096113
                  44,            0.091187,            0.021029,                   0,            0.041284,                 0.5,            0.031362,           0.0094087,             0.10097,            0.020888,                   0,          0.00042165,          0.00042165,            0.096022
                  45,            0.097354,             0.01614,                   0,           0.0059889,                 0.5,            0.004385,           0.0004385,             0.10268,            0.020717,                   0,          0.00043038,          0.00043038,             0.09593
                  46,            0.090959,            0.017724,                   0,           0.0062782,                 0.5,           0.0045159,          0.00045159,             0.10113,            0.020798,                   0,          0.00043906,          0.00043906,            0.095839
                  47,            0.095089,            0.018046,                   0,           0.0066003,                 0.5,           0.0044824,          0.00044824,             0.10247,            0.020669,                   0,          0.00044769,          0.00044769,            0.095748
                  48,            0.089197,             0.02009,                   0,           0.0068765,                 0.5,           0.0039607,          0.00039607,               0.101,            0.020764,                   0,          0.00045625,          0.00045625,            0.095656
                  49,            0.092234,            0.019016,                   0,                   0,                   0,                   0,                   0,              0.1018,            0.020696,                   0,          0.00046476,          0.00046476,            0.095565
                  50,            0.091965,            0.018325,                   0,            0.047761,                 0.5,            0.035782,           0.0035782,            0.099419,            0.020957,                   0,          0.00047321,          0.00047321,            0.095473
                  51,            0.085942,            0.021833,                   0,            0.081804,                 0.5,            0.041675,           0.0041675,            0.098566,            0.021055,                   0,          0.00048159,          0.00048159,            0.095382
                  52,            0.091616,            0.019551,                   0,                   0,                   0,                   0,                   0,             0.10333,            0.020652,                   0,          0.00048992,          0.00048992,             0.09529
                  53,            0.090939,             0.01871,                   0,                   0,                   0,                   0,                   0,            0.099978,             0.02094,                   0,          0.00049818,          0.00049818,            0.095198
                  54,            0.098314,            0.016474,                   0,                   0,                   0,                   0,                   0,             0.10025,            0.020884,                   0,          0.00050637,          0.00050637,            0.095106
                  55,            0.084409,            0.016995,                   0,           0.0052244,                 0.5,            0.003354,           0.0003354,            0.097886,            0.021128,                   0,          0.00051451,          0.00051451,            0.095015
                  56,            0.092203,            0.019742,                   0,                   0,                   0,                   0,                   0,             0.10107,            0.020844,                   0,          0.00052257,          0.00052257,            0.094923
                  57,             0.09132,            0.019266,                   0,           0.0038499,                 0.5,           0.0030863,          0.00061726,             0.09931,            0.021031,                   0,          0.00053057,          0.00053057,            0.094831
                  58,             0.10275,            0.017451,                   0,           0.0040588,                 0.5,           0.0032216,          0.00096648,            0.099559,            0.020913,                   0,          0.00053851,          0.00053851,            0.094739
                  59,             0.08674,            0.018315,                   0,           0.0017107,                 0.5,           0.0016625,          0.00016625,            0.096933,            0.021116,                   0,          0.00054637,          0.00054637,            0.094646
                  60,            0.082904,            0.021078,                   0,           0.0043445,                 0.5,           0.0031448,          0.00094343,             0.09387,            0.021525,                   0,          0.00055416,          0.00055416,            0.094554
                  61,            0.087555,            0.020117,                   0,           0.0028159,                 0.5,           0.0022651,          0.00022651,            0.098792,               0.021,                   0,          0.00056189,          0.00056189,            0.094462
                  62,            0.085308,            0.020272,                   0,             0.11008,                 0.5,              0.0623,             0.00623,            0.096889,            0.021232,                   0,          0.00056954,          0.00056954,             0.09437
                  63,            0.087004,            0.021904,                   0,           0.0047711,                 0.5,           0.0028279,          0.00028279,              0.0962,             0.02135,                   0,          0.00057712,          0.00057712,            0.094277
                  64,            0.083917,            0.019453,                   0,             0.13091,                 0.5,            0.088673,           0.0092153,            0.092792,            0.021851,                   0,          0.00058463,          0.00058463,            0.094185
                  65,            0.089115,            0.015495,                   0,            0.010073,                   1,            0.012839,           0.0012839,            0.093435,            0.021793,                   0,          0.00059206,          0.00059206,            0.094092
                  66,            0.085268,            0.019649,                   0,           0.0072519,                 0.5,            0.009213,           0.0013251,            0.096665,            0.021505,                   0,          0.00059942,          0.00059942,            0.093999
