               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1362,            0.020864,                   0,                   0,                   0,                   0,                   0,             0.12929,            0.022581,                   0,                   0,                   0,                 0.1
                   1,             0.13501,            0.020589,                   0,                   0,                   0,                   0,                   0,             0.12885,            0.022575,                   0,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.13408,            0.020997,                   0,                   0,                   0,                   0,                   0,             0.12874,             0.02253,                   0,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.13603,            0.019805,                   0,                   0,                   0,                   0,                   0,             0.12861,            0.022448,                   0,          2.9994e-05,          2.9994e-05,             0.09973
                   4,             0.13471,            0.020654,                   0,                   0,                   0,                   0,                   0,             0.12845,            0.022339,                   0,          3.9986e-05,          3.9986e-05,             0.09964
                   5,             0.13429,            0.020627,                   0,                   0,                   0,                   0,                   0,             0.12828,            0.022255,                   0,          4.9973e-05,          4.9973e-05,             0.09955
                   6,              0.1327,            0.020508,                   0,                   0,                   0,                   0,                   0,             0.12809,            0.022157,                   0,          5.9953e-05,          5.9953e-05,             0.09946
                   7,             0.13443,            0.020307,                   0,                   0,                   0,                   0,                   0,             0.12788,            0.022046,                   0,          6.9925e-05,          6.9925e-05,             0.09937
                   8,              0.1321,            0.019093,                   0,                   0,                   0,                   0,                   0,             0.12759,            0.021967,                   0,          7.9888e-05,          7.9888e-05,             0.09928
                   9,             0.13233,            0.019184,                   0,                   0,                   0,                   0,                   0,             0.12736,            0.021855,                   0,           8.984e-05,           8.984e-05,             0.09919
                  10,             0.13246,            0.019794,                   0,                   0,                   0,                   0,                   0,               0.127,             0.02179,                   0,          9.9781e-05,          9.9781e-05,              0.0991
                  11,             0.12954,            0.019209,                   0,                   0,                   0,                   0,                   0,             0.12671,            0.021691,                   0,          0.00010971,          0.00010971,             0.09901
                  12,             0.12949,            0.019266,                   0,                   0,                   0,                   0,                   0,             0.12635,            0.021595,                   0,          0.00011962,          0.00011962,             0.09892
                  13,             0.12825,            0.018786,                   0,                   0,                   0,                   0,                   0,             0.12598,            0.021515,                   0,          0.00012952,          0.00012952,             0.09883
                  14,             0.12678,            0.020289,                   0,                   0,                   0,                   0,                   0,             0.12549,            0.021462,                   0,           0.0001394,           0.0001394,            0.098739
                  15,             0.12597,            0.018012,                   0,                   0,                   0,                   0,                   0,               0.125,             0.02144,                   0,          0.00014926,          0.00014926,            0.098649
                  16,             0.12582,            0.018427,                   0,                   0,                   0,                   0,                   0,             0.12438,            0.021444,                   0,           0.0001591,           0.0001591,            0.098559
                  17,             0.12556,            0.018585,                   0,                   0,                   0,                   0,                   0,             0.12376,            0.021427,                   0,          0.00016893,          0.00016893,            0.098469
                  18,             0.12266,            0.019899,                   0,                   0,                   0,                   0,                   0,             0.12322,            0.021399,                   0,          0.00017872,          0.00017872,            0.098379
                  19,             0.12523,            0.019343,                   0,                   0,                   0,                   0,                   0,             0.12253,            0.021405,                   0,           0.0001885,           0.0001885,            0.098289
                  20,             0.12359,            0.018759,                   0,                   0,                   0,                   0,                   0,             0.12189,            0.021378,                   0,          0.00019825,          0.00019825,            0.098198
                  21,             0.12394,            0.019776,                   0,                   0,                   0,                   0,                   0,             0.12141,            0.021325,                   0,          0.00020798,          0.00020798,            0.098108
                  22,             0.12432,            0.018244,                   0,                   0,                   0,                   0,                   0,             0.12083,            0.021308,                   0,          0.00021767,          0.00021767,            0.098018
                  23,             0.12268,            0.019798,                   0,                   0,                   0,                   0,                   0,             0.12017,            0.021256,                   0,          0.00022734,          0.00022734,            0.097927
                  24,              0.1203,            0.017842,                   0,                   0,                   0,                   0,                   0,             0.11952,            0.021235,                   0,          0.00023698,          0.00023698,            0.097837
                  25,             0.12324,            0.018252,                   0,                   0,                   0,                   0,                   0,             0.11937,            0.021186,                   0,          0.00024659,          0.00024659,            0.097747
                  26,             0.11865,             0.01761,                   0,                   0,                   0,                   0,                   0,             0.11942,            0.021196,                   0,          0.00025617,          0.00025617,            0.097656
                  27,             0.12113,            0.017483,                   0,                   0,                   0,                   0,                   0,             0.11902,            0.021163,                   0,          0.00026571,          0.00026571,            0.097566
                  28,             0.11427,            0.021695,                   0,                   0,                   0,                   0,                   0,             0.11865,            0.021109,                   0,          0.00027522,          0.00027522,            0.097475
                  29,             0.11232,             0.01835,                   0,                   0,                   0,                   0,                   0,             0.11853,            0.021028,                   0,          0.00028469,          0.00028469,            0.097385
                  30,             0.11176,            0.018592,                   0,                   0,                   0,                   0,                   0,             0.11846,            0.020943,                   0,          0.00029413,          0.00029413,            0.097294
                  31,             0.11988,            0.019343,                   0,                   0,                   0,                   0,                   0,             0.11802,            0.020902,                   0,          0.00030352,          0.00030352,            0.097204
                  32,             0.11312,            0.018286,                   0,                   0,                   0,                   0,                   0,             0.11702,            0.020884,                   0,          0.00031288,          0.00031288,            0.097113
                  33,             0.11464,              0.0184,                   0,                   0,                   0,                   0,                   0,             0.11573,            0.020896,                   0,           0.0003222,           0.0003222,            0.097022
                  34,             0.11282,            0.019977,                   0,                   0,                   0,                   0,                   0,             0.11414,            0.020961,                   0,          0.00033147,          0.00033147,            0.096931
                  35,             0.11069,            0.019695,                   0,                   0,                   0,                   0,                   0,             0.11194,              0.0211,                   0,           0.0003407,           0.0003407,            0.096841
                  36,               0.113,             0.01664,                   0,                   0,                   0,                   0,                   0,             0.11066,            0.021131,                   0,          0.00034989,          0.00034989,             0.09675
                  37,              0.1074,            0.018253,                   0,                   0,                   0,                   0,                   0,              0.1122,            0.020956,                   0,          0.00035903,          0.00035903,            0.096659
                  38,             0.10578,            0.020019,                   0,                   0,                   0,                   0,                   0,              0.1111,            0.021014,                   0,          0.00036812,          0.00036812,            0.096568
                  39,             0.10047,            0.019201,                   0,                   0,                   0,                   0,                   0,              0.1089,             0.02111,                   0,          0.00037717,          0.00037717,            0.096477
                  40,             0.10236,            0.017678,                   0,                   0,                   0,                   0,                   0,             0.10806,            0.021157,                   0,          0.00038617,          0.00038617,            0.096386
                  41,             0.10186,            0.018237,                   0,                   0,                   0,                   0,                   0,             0.10707,            0.021145,                   0,          0.00039511,          0.00039511,            0.096295
                  42,             0.10832,            0.017737,                   0,                   0,                   0,                   0,                   0,             0.10615,            0.021067,                   0,          0.00040401,          0.00040401,            0.096204
                  43,            0.098448,            0.016019,                   0,                   0,                   0,                   0,                   0,             0.11051,            0.020716,                   0,          0.00041285,          0.00041285,            0.096113
                  44,             0.10393,            0.020162,                   0,                   0,                   0,                   0,                   0,             0.11011,            0.020685,                   0,          0.00042165,          0.00042165,            0.096022
                  45,             0.10186,            0.019678,                   0,                   0,                   0,                   0,                   0,             0.10815,            0.020744,                   0,          0.00043038,          0.00043038,             0.09593
                  46,            0.098816,            0.018579,                   0,                   0,                   0,                   0,                   0,             0.10274,            0.021083,                   0,          0.00043906,          0.00043906,            0.095839
                  47,            0.095706,            0.020653,                   0,             0.19621,                 0.5,             0.12418,            0.012418,            0.099527,            0.021308,                   0,          0.00044769,          0.00044769,            0.095748
                  48,             0.10799,            0.019663,                   0,                   0,                   0,                   0,                   0,             0.10169,            0.021133,                   0,          0.00045625,          0.00045625,            0.095656
                  49,              0.1034,            0.022044,                   0,                   0,                   0,                   0,                   0,             0.10121,            0.021217,                   0,          0.00046476,          0.00046476,            0.095565
                  50,             0.09426,            0.018519,                   0,                   0,                   0,                   0,                   0,             0.10652,            0.020757,                   0,          0.00047321,          0.00047321,            0.095473
                  51,            0.096377,            0.018747,                   0,                   0,                   0,                   0,                   0,             0.10272,             0.02111,                   0,          0.00048159,          0.00048159,            0.095382
                  52,            0.097583,            0.016457,                   0,           0.0016667,                 0.5,           0.0013451,          0.00013451,            0.099107,            0.021493,                   0,          0.00048992,          0.00048992,             0.09529
                  53,             0.09794,            0.018987,                   0,           0.0016667,                 0.5,           0.0013918,          0.00013918,             0.10815,            0.020826,                   0,          0.00049818,          0.00049818,            0.095198
                  54,            0.097169,             0.01826,                   0,           0.0016667,                 0.5,           0.0014964,          0.00014964,             0.10612,            0.021074,                   0,          0.00050637,          0.00050637,            0.095106
                  55,            0.099363,            0.017157,                   0,           0.0021681,                 0.5,           0.0016442,          0.00016442,            0.098377,            0.021763,                   0,          0.00051451,          0.00051451,            0.095015
                  56,            0.088208,            0.018706,                   0,             0.17865,                 0.5,             0.10071,            0.010198,            0.094757,            0.022183,                   0,          0.00052257,          0.00052257,            0.094923
                  57,            0.093173,             0.02024,                   0,              0.1869,                 0.5,             0.10074,            0.040426,             0.08985,            0.022747,                   0,          0.00053057,          0.00053057,            0.094831
